CASE;QUESTNNR;MODE;STARTED;SA04_01;SA04_02;SA04_03;Attraktivität Mittelwert;SS01_01;SS01_02;SS01_03;SS01_04;SS01_05;SS01_06;SS01_07;SS01_08;SS01_09;SS01_10;WIRKALL-K;GA01_01;GA01_02;GA01_03;GA01_04;GA01_05;GA01_06;GWALL Mittelwert;GP01_01;GP01_02;GP01_03;GP01_04;GP01_05;GP01_06;GP01_07;GWPER Mittelwert;AG01;AG02_01;AG06;AG04;AG03;AG05;TIME001;TIME002;TIME003;TIME004;TIME005;TIME_SUM;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
49;base;interview;03.06.2017 02:18;4;5;4;4,333333333;2;3;2;3;3;3;4;3;3;3;29;3;3;3;3;2;3;2,833333333;4;2;2;2;1;2;2;2,142857143;1;48;3;2;4;5;27;34;85;122;41;309;03.06.2017 02:23;1;0;5;5;0;0;0,74;0
50;base;interview;04.06.2017 15:26;4;5;4;4,333333333;2;2;2;2;3;2;3;1;2;1;20;4;5;5;1;6;3;4;2;2;2;2;2;2;2;2;2;1256;2;1;4;3;4;40;65;93;75;232;04.06.2017 15:31;1;0;5;5;0;0;1,25;28
51;base;interview;04.06.2017 18:47;3;5;5;4,333333333;3;3;4;3;4;3;4;3;4;4;35;4;2;2;2;2;2;2,333333333;2;2;2;2;4;2;2;2,285714286;2;45;4;3;6;5;22;69;183;278;36;264;04.06.2017 18:56;1;0;5;5;0;0;0,52;0
52;base;interview;04.06.2017 19:05;5;5;5;5;3;3;3;3;3;3;3;3;3;3;30;3;3;2;3;3;2;2,666666667;2;2;2;2;2;2;2;2;2;25;1;1;4;3;7;12;39;106;23;187;04.06.2017 19:08;1;0;5;5;0;0;1,63;31
53;base;interview;04.06.2017 19:15;6;6;6;6;4;4;3;3;3;4;4;3;3;4;35;6;6;5;4;4;4;4,833333333;3;3;2;2;2;2;3;2,428571429;1;28;1;1;4;3;16;22;68;136;30;272;04.06.2017 19:20;1;0;5;5;0;0;0,96;1
54;base;interview;04.06.2017 21:23;5;5;5;5;3;3;3;2;3;3;3;3;3;3;29;4;4;4;4;5;4;4,166666667;2;2;2;2;2;2;2;2;2;23;2;1;4;3;11;15;49;86;29;190;04.06.2017 21:26;1;0;5;5;0;0;1,32;16
55;base;interview;04.06.2017 21:24;5;4;4;4,333333333;2;3;2;3;3;3;3;3;3;3;28;6;4;4;3;4;5;4,333333333;3;2;2;2;2;3;3;2,428571429;2;25;1;1;3;2;5;17;49;123;29;223;04.06.2017 21:28;1;0;5;5;0;0;1,51;27
56;base;interview;05.06.2017 08:36;4;5;4;4,333333333;3;3;3;3;4;3;3;3;3;4;32;5;4;3;3;4;3;3,666666667;3;2;3;2;2;2;2;2,285714286;1;16;1;1;2;2;4;53;102;163;37;359;05.06.2017 08:42;1;0;5;5;0;0;1,12;25
57;base;interview;05.06.2017 10:57;4;4;4;4;3;3;3;3;3;3;3;3;3;4;31;5;5;6;4;4;4;4,666666667;4;4;4;4;4;4;4;4;1;24;2;1;3;2;8;11;59;108;37;223;05.06.2017 11:01;1;0;5;5;0;0;1,39;22
58;base;interview;05.06.2017 12:36;5;6;6;5,666666667;3;3;2;3;3;2;3;2;3;2;26;6;3;4;3;6;4;4,333333333;3;3;4;3;4;3;4;3,428571429;2;24;2;1;4;3;41;18;65;185;33;342;05.06.2017 12:42;1;0;5;5;0;0;0,85;4
60;base;interview;05.06.2017 14:02;6;6;6;6;4;3;3;3;3;2;3;3;3;2;29;6;5;4;2;3;3;3,833333333;2;3;3;3;4;3;3;3;2;25;2;1;4;3;14;29;69;77;20;209;05.06.2017 14:06;1;0;5;5;0;0;1,15;9
61;base;interview;05.06.2017 14:03;6;5;5;5,333333333;3;3;4;2;2;3;4;3;2;2;28;6;2;5;2;2;3;3,333333333;1;2;2;2;2;2;2;1,857142857;1;27;2;1;4;4;4;19;41;64;27;155;05.06.2017 14:06;1;0;5;5;0;0;1,76;43
62;base;interview;05.06.2017 15:23;7;6;7;6,666666667;3;4;3;3;3;3;4;3;3;3;32;4;3;4;3;5;4;3,833333333;2;5;3;2;2;2;2;2,571428571;2;26;2;1;4;4;4;35;210;109;34;251;05.06.2017 15:29;1;0;5;5;0;0;1,18;25
63;base;interview;05.06.2017 19:51;5;4;5;4,666666667;2;4;3;3;3;3;2;2;3;3;28;6;4;6;4;6;6;5,333333333;2;2;2;4;3;5;3;3;1;23;1;1;4;4;81;19;51;88;21;193;05.06.2017 19:55;1;0;5;5;0;0;1,1;13
64;base;interview;05.06.2017 19:59;5;5;5;5;3;3;3;3;3;3;4;3;3;3;31;4;4;4;5;5;5;4,5;3;3;3;2;4;4;4;3,285714286;2;23;2;1;4;3;11;19;45;85;25;185;05.06.2017 20:02;1;0;5;5;0;0;1,32;16
65;base;interview;06.06.2017 06:05;6;6;6;6;3;3;3;3;4;3;3;3;3;3;31;4;4;6;4;4;3;4,166666667;4;2;2;2;2;2;2;2,285714286;2;28;1;1;4;3;4;17;35;53;22;131;06.06.2017 06:07;1;0;5;5;0;0;1,97;53
66;base;interview;06.06.2017 08:23;5;5;5;5;4;4;4;3;4;3;4;3;4;3;36;6;6;6;6;4;6;5,666666667;2;2;1;1;2;1;2;1,571428571;2;24;1;1;4;3;19;17;53;95;14;198;06.06.2017 08:26;1;0;5;5;0;0;1,35;20
67;base;interview;06.06.2017 09:51;5;5;5;5;3;3;3;3;3;3;3;2;3;3;29;6;6;1;5;3;6;4,5;3;2;2;2;2;2;2;2,142857143;1;18;1;1;2;2;5;20;51;121;22;219;06.06.2017 09:54;1;0;5;5;0;0;1,53;27
68;base;interview;06.06.2017 10:57;2;2;3;2,333333333;3;4;2;3;4;3;4;2;3;2;30;5;5;5;5;4;4;4,666666667;2;2;3;1;1;1;1;1,571428571;2;19;2;1;2;2;14;23;71;68;19;195;06.06.2017 11:00;1;0;5;5;0;0;1,24;13
69;base;interview;06.06.2017 12:09;5;6;6;5,666666667;3;3;3;2;3;3;3;3;3;3;29;6;6;6;6;6;6;6;2;3;4;4;5;5;3;3,714285714;2;34;2;1;4;3;10;15;41;77;19;162;06.06.2017 12:12;1;0;5;5;0;0;1,54;27
70;base;interview;06.06.2017 12:38;6;6;6;6;3;3;2;4;4;2;3;1;3;3;28;3;4;4;2;4;2;3,166666667;1;2;2;2;2;2;2;1,857142857;1;21;1;1;2;2;17;34;152;125;27;272;06.06.2017 12:44;1;0;5;5;0;0;0,8;1
71;base;interview;06.06.2017 14:00;4;4;4;4;3;2;2;2;3;1;3;2;2;1;21;6;5;5;1;3;6;4,333333333;5;6;4;6;4;6;4;5;2;19;2;1;2;2;38;267;737;185;53;370;06.06.2017 14:21;1;0;5;5;0;0;0,34;0
